ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Reviewer,Review
09-1,31/03/23 05:25:19,https://twitter.com/xocheeseburger/status/1498747855531491328,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@xocheeseburger,XoXocheeseburger,,Anonymous,10/21,41,36,,nag uumpisa na sila🤢 #LeniMagnanakaw #LeniTangaSaLahat #lenibobo #NoToComelecRappler,,"Text, Quote Tweet",03/02/22 03:51,,"Rational, Emotional",0,0,0,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",No Location and Account bio.,,
09-2,31/03/23 05:25:19,https://twitter.com/xocheeseburger/status/1496115998889586696,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@xocheeseburger,XoXocheeseburger,,Anonymous,10/21,41,36,,"kikilabutan ka talaga jan, kasqma nyo yung mga kaluliwang boboto sa botahan eh😂😂😂✌️#Lenimagnanakaw",,"Text, Quote Tweet",22/02/22 21:33,,Rational,1,0,0,,,,"There is no evidence of cheating by Leni (or any candidate) in the 2022 elections.

https://newsinfo.inquirer.net/1672900/leni-supporter-tackles-elephant-in-room-no-massive-fraud-in-2022-polls-surveys-were-just-right",No Location and Account bio.,,
09-3,31/03/23 05:25:19,https://twitter.com/yamgishi/status/880514803638206464,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@yamgishi,れだ 山岸,私は 優しいです あなたには優しいですか？,Anonymous,09/14,4996,3022,,Nostradamus Prediction about President Duterte! WeProtectPRRD no matter what! #LeniMagnanakaw,,"Text, URL",30/06/17 03:54,,Rational,5,0,2,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",No Location.,,
09-4,31/03/23 05:25:19,https://twitter.com/yamgishi/status/880514379216601089,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@yamgishi,れだ 山岸,私は 優しいです あなたには優しいですか？,Anonymous,09/14,4996,3022,,MAINIT NA BALITA! ➽ BONG BONG MARCOS HINAMON SI VP LENI SA KANYANG MGA P... #BBMTheRealVP #LeniMagnanakaw,,"Text, URL",30/06/17 03:52,,Rational,2,0,2,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",No Location.,,
09-5,31/03/23 05:25:19,https://twitter.com/yamgishi/status/880513878827778048,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@yamgishi,れだ 山岸,私は 優しいです あなたには優しいですか？,Anonymous,09/14,4996,3022,,Tukoy na ni Bongbong Marcos ang mga lugar na naganap ang pandaraya ni Ro... #LeniMagnanakaw #BBMTheRealVP,,"Text, URL",30/06/17 03:50,,Rational,4,0,1,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",No Location.,,
09-6,31/03/23 05:25:19,https://twitter.com/yamgishi/status/880504237637066752,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@yamgishi,れだ 山岸,私は 優しいです あなたには優しいですか？,Anonymous,09/14,4996,3022,,@Fitch1124 @JoC2202 @PIADesk @PresidentialCom @srsasot @ilda_talk @iamrickbaltazar @Maharlika__ @riverbrook930 @tontoncontreras @naivezerine @WeAreUnitedDDS @DDSHellas_ @lasertard LP ang tunay na magnanakaw sa kaban nang taong Bayan! #LeniMagnanakaw #LPTerrorist leading by Panot Aquino mga LP Trolls huli na kayo!,,"Text, Reply",30/06/17 03:12,,Rational,7,0,6,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",No Location.,,
09-7,31/03/23 04:55:37,https://twitter.com/Wenelethsetoun/status/1456108609541083147,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenicorrupt,@wenelethsetoun,Wenelethsetounnotode,"Bring Back Marcos; I believe we are committed to our various principles, so respect mine and i'll respect yours.",Anonymous,11/21,0,1,,"Sa totoo lang, almost all of Vice Pres. Leni Robredo's supporters, ang lakas ng loob nila mag-post about the Marcoses but when you click the comment section, it's turned off. oops 🤫 #LeniLugaw  #LeniCorrupt",,Text,11/04/21 11:58,,Rational,0,0,0,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",No Location.,,
09-8,31/03/23 05:25:19,https://twitter.com/mavismaude1/status/1452148729188814853,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@mavismaude1,kaitot,,Anonymous,07/21,827,15,,@antonxvillegas #lenimagnanakaw,,Text,24/10/21 13:43,,Rational,0,0,0,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",No Location and Account bio.,,
09-9,31/03/23 05:25:19,https://twitter.com/ImeeMirando/status/1502921641529126912,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@imeemirando,ILOCANO DAYTOY❤️💚,"The truth hurts, but the truth shall set us FREE...Let the truth be heard... Halalan 2022 is the fight between lies and truth!!! it is the fight of good @ evil.",Anonymous,12/21,223,151,,"@Cluad8 @ABSCBNNews Sa tingin mo, hindi ito pagpapakita ng pagiging desperado nyo!!!  #LENIMAGNANAKAW",,"Text, Image, Reply",13/03/22 16:16,,"Rational, Emotional",0,0,0,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",No Location. May have used real photo.,,
09-10,31/03/23 05:25:19,https://twitter.com/mar67432140/status/1446858754490716162,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@mar67432140,Jake Crus,,Anonymous,06/21,7,0,,#Lenimagnanakaw,,Text,10/09/21 23:23,,Rational,0,0,0,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",No Location and Account bio.,,
09-11,31/03/23 05:25:19,https://twitter.com/itsMeJom16/status/1497112188053450758,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@itsmejom16,JOM,,Anonymous,04/21,253,34,Nowhere,@greenleafyvege1 @bongbongmarcos #LeniMagnanakaw,,"Text, Reply",25/02/22 15:32,,Rational,0,0,0,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",No Account bio. Fake Location.,,
09-12,31/03/23 05:25:19,https://twitter.com/Markikomatsing/status/1485247183134019586,09,"Maceda, Westin",RBRD,Leni's incompetence/corruptness as a VP,#lenimagnanakaw,@markikomatsing,Mark,engineer. pinoy.,Anonymous,10/17,119,34,Singapore,Nakarma ang mga kakampinks. #LeniDuwag #LeniDuwagSaLiveInterview #LeniMagnanakaw,,"Text, Quote Tweet",23/01/22 21:44,,"Rational, Emotional",0,0,0,,,,"There is no evidence to suggest that Leni is corrupt.

https://www.gmanetwork.com/news/topstories/nation/830199/robredo-says-ovp-s-highest-rating-from-coa-shows-no-corruption-in-her-track-record/story/",May have used real photo.,,
