ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Reviewer,"Review


Incomplete data"
14-1,2023/03/31 0:10:16,https://twitter.com/Yoonji041101/status/1462033882170093568,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,"leni robredo, bayaw, drug lord",@Yoonji041101,Yoonji,Iamyoonji,Anonymous,10/20,383,714,,"PRRD tinukoy na ang bayaw ni Leni Robredo ang DRUG LORD sa Naga City. 

(Nakita ko lang sa SMNI News.)",,Text,20/11/21 20:23,,Rational,8,0,0,,,,"There are no news articles, statements, or official cases that prove that Butch Robredo is linked to drugs.

Source: https://www.facebook.com/FactCheckPhils/photos/a.1874873655938230/2779970218761898/",No location indicated,Resilient-Badger,OK
14-2,31/03/23 00:10:52,https://twitter.com/cierloX6/status/1598004813656379392,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,"anak ni robredo, leni robredo",@cierloX6,Cierlo,"natsugi acct ko, makaleninggaw si pipito, pestengtsekers yan",Anonymous,02/22,564,559,,meron sex video ang anak ni leni robredo  sabi mismo ni leni robredo napaka gross mong ina magpakalat ng tsimis sinegundahan ni paeng ipen,,Text,01/12/22 1:23,,Emotional,16,2,1,,,,"The video scandal going around the internet claimed to be of Aika Robredo is fake. Aika Robredo has asked for assistance from the National Bureau of Investigation over this.

Source: https://www.rappler.com/nation/elections/aika-robredo-seeks-nbi-assistance-fake-video-scandal-issue/",No location indicated,Resilient-Badger,"Mislabeled, Incorrect Format"
14-3,31/03/23 00:10:54,https://twitter.com/bingbongbarack/status/1599768711816093696,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,"leni robredo, daughter, sex scandal",@bingbongbarack,BongBongBong,"Ironically, the person you’d take a bullet for sometimes ends up being the one behind the gun.",Anonymous,01/22,612,549,,"Throwback lang -
Tanong: Bakit di mo iboboto si Leni Robredo?
Sagot: Kasi #1 SINUNGALING!!

Huy ⁦
@lenirobredo
⁩ nuna nangyari sa “SEX SCANDAL” ng daughter mo which is a GIRL?",,Text,05/12/22 10:12,,Emotional,37,5,14,,,,"The video scandal going around the internet claimed to be of Aika Robredo is fake. Aika Robredo has asked for assistance from the National Bureau of Investigation over this.

Source: https://www.rappler.com/nation/elections/aika-robredo-seeks-nbi-assistance-fake-video-scandal-issue/",No location indicated,Resilient-Badger,"Mislabeled, Incorrect Format"
14-4,31/03/23 00:11:03,https://twitter.com/YDioxide/status/1586744866876407809,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,"leni robredo, npa, joma sison, boyfriend",@YDioxide,YnX,"NUmetal/Punkrock/Djent/RapMetal🤘🏻
musician💯",Anonymous,2/19,2112,534,Philippines,Kaya pala nag tatago sa ibang bansa ang Boyfriend ni Leni Robredo na founder ng NPA na si Joma Sison 🤭🤭,,Reply (Comment),30/10/22 23:40,,Rational,0,0,0,,,,"There is no official evidence that Leni Robredo is linked to Joma Sison romantically.

Source:
https://www.rappler.com/newsbreak/fact-check/text-blast-joma-sison-support-for-leni-robredo/",,Resilient-Badger,"Incorrect format, Mislabeled"
14-5,31/03/23 00:20:20,https://twitter.com/Bongtothemax/status/1597784779164127233,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,"leni robredo, aika, daughter, sex video",@Bongtothemax,Bong,"I""Am your lifeguard...",Anonymous,12/20,962,1011,"Cebu City, Central Visayas","It was you Leni Robredo who spread disimformation that your daugther AIKA had a sex video and you accused PBBM during the height of the campaign period..Who else will believe you?
Liar to the highest level ka Manay.
Try harder.",,Reply (Quote tweet),30/11/2022 10:49,,Emotional,3,1,2,,,,"The video scandal going around the internet claimed to be of Aika Robredo is fake. Aika Robredo has asked for assistance from the National Bureau of Investigation over this.

Source: https://www.rappler.com/nation/elections/aika-robredo-seeks-nbi-assistance-fake-video-scandal-issue/",,Resilient-Badger,Mislabeled
14-6,31/03/23 00:20:44,https://twitter.com/tapatnapilipino/status/1036001462109650944,14,"Peroz, JC Mae","RBRD

",Robredo's personal life,"leni robredo, jesse, fake","@tapatnapilipino
","TapatNaPilipino(TNP)","Ang naninira sa gobyerno ay kasiraan sa Lahing Pilipino, katulad din ng pagaakusa na di mapatunayan, kaya dapat sila ay nasa bilangguan habangbuhay.",Anonymous,04/11,58,316,Sa Puso ng Pilipinas,"Anong failure? Kayo lang ang nagsasabi nyan at ikaw Leni Robredo ang FAILURE sa sambayanang Filipino. Why? Isa kang FAKE, u & ur family ay Drug and Gambling Protectors. Diba Jesse Robredo?",,Reply (Quote tweet),02/09/18 5:22,,Emotional,23,0,6,2,,,"There are no news articles, statements, or official cases that prove that Leni Robredo is linked to drugs or drug operations.

Source:
https://www.tsek.ph/leni-robredo-protektor-daw-ng-mga-drug-lord/
",Indicated location is not an actual location,Resilient-Badger,"Incorrect format, Mislabeled"
14-7,31/03/23 00:21:14,https://twitter.com/Jaybee_Elay/status/1032826389722890240,14,"Peroz, JC Mae","RBRD

",Robredo's personal life,"leni robredo, jesse, fake","@Jaybee_Elay","BBM-SaraDU30 Nation-Building 🇵🇭👊❤💚🇵🇭","💚Build-Build-Build. ❤War on Drugs, Terrorism, CPP-NPA, Corruption. ❤Death Penalty. 💚Federalism, Parliamentary, Co-Re. I❤PRRD Legacy. I❤💚BBM-SARA2022✌👊🇵🇭.",Anonymous,06/18,2807,5545,Philippines,"I hate Drugs! Please watch and RT.

Butch Robredo, brother of Naga City Mayor Jesse Robredo, is a big-time Drug Lord of Naga City.

Leni Robredo, the husband of Jesse, is a Fake VP and powerful Drug Protector of Naga City. 
",,Reply (Quote tweet),24/08/18 11:06 ,,Rational,13,2,9,0,,,"There are no news articles, statements, or official cases that prove that Butch Robredo is linked to drugs.

Source:
https://www.tsek.ph/butch-robredo-sangkot-sa-ilegal-na-droga/",,Resilient-Badger,Mislabeled
14-8,31/03/23 00:24:58,https://twitter.com/yamgishi/status/1185640896345202688,14,"Peroz, JC Mae","RBRD

",Robredo's personal life,"leni robredo, jesse, fake","@yamgishi","れだ 山岸","私は 優しいです あなたには優しいですか？",Identified,10/14,3022,4996,,"BOBA kasi si Leni Robredo Fraud Fake VP kaya hindi maka intindi about her case kasi Fake Lawyer rin siya hindi siya Lawyer graduate she is a Junior Secretarial graduate only kaya nga Secretary siya noon ni Jesse Robredo noong dalaga pa siya. #JailLeniRobredoFakeVP #BBMTheRealVP",,"Text, Image",20/10/19 3:36,,Emotional,2,0,1,0,,,"It is already proven that Leni Robredo has a law degree from the University of Nueva Caceres, and that she is a bar passer.

Sources:

https://abogado.com.ph/student-council-of-lenis-law-school-alma-mater-backs-her-presidential-run/
https://www.rappler.com/newsbreak/fact-check/robredo-missing-bar-exam-results-casts-doubt-lawyer/?fbclid=IwAR0xxFh9Gv9OOLnZxPbKBz-a5m_hPV6LxA335Ie2a6xRPRwV30g4oQ0dh2I",No location indicated,Resilient-Badger,"Incorrect Format, Mislabeled"
14-9,31/03/23 00:29:27,https://twitter.com/BbMaharlika/status/1337894106928824321,14,"Peroz, JC Mae","RBRD

",Robredo's personal life,leni jesse fake,@BbMaharlika,Maharlika,"I'm not afraid to speak my mind, even if it upsets you.
YouTube channel 👉http://youtube.com/c/Maharlika777",Media,11/15,534,44.6K,United States,"FOUL PLAY SA PAGKAMATAY NI JESSE ROBREDO, TINULUGAN LANG NI FAKE VP LENI
https://rumble.com/vbu0bx-foul-play-sa-pagkamatay-ni-jesse-robredo-tinulugan-lang-ni-fake-vp-leni.html",,"Text, URL",24/08/18 11:06,,Rational,166,1,8,,,,"Jesse Robredo's death was not due to sabotage.

Source:

https://www.rappler.com/newsbreak/fact-check/jesse-robredo-death-sabotage/",Verified account,Resilient-Badger,Incorrect Format
14-10,31/03/23 14:16:22,https://twitter.com/miamihart/status/1616559284527026192,14,"Peroz, JC Mae","RBRD

",Robredo's personal life,#NagaLeaks,@miamihart,@miamihart,"PRODDS.. PROBBM…  THE FUTURE is OURS. 👊❤️💚",Anonymous,04/11,1041,1141,More fun in the Philippines,"Kakampwets ito ba malinis na Santa Mama nyo👀👇👇👇👇👇
https://pbs.twimg.com/media/Fm8sGSDXEAAfKCy?format=jpg&name=large",,"Text, Image",21/01/23 6:12,,Rational,177,16,48,6,,,"There are no news articles, statements, or official cases that prove that Butch Robredo is linked to drugs.

Sources:
https://www.tsek.ph/butch-robredo-sangkot-sa-ilegal-na-droga/

https://www.facebook.com/FactCheckPhils/photos/a.1874873655938230/2779970218761898/","Verified account, Invalid location",Resilient-Badger,"Mislabeled, Incorrect Format"
14-11,31/03/23 00:28:45,https://twitter.com/AlexBNFC/status/1514421430850846721,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,"sex video, leni robredo, aika robredo, sexual abuse",@AlexBNFC,Alexander Bonifacio,Observa ius meum in tua sententia falli.,Identified,01/22,169,354,Philippines,"So, Leni Robredo's campaign team is trying to market Aika Robredo as a victim of sexual abuse.😂

A victim because someone ""leaked"" a sex video that nobody on the internet could find.

Clue: Aika Robredo's sex video is a figment of Leni Robredo's imagination. It does not exist!",,Text,14/04/22 9:53,,Emotional,2,0,1,,,,"The video scandal going around the internet claimed to be of Aika Robredo is fake. Aika Robredo has asked for assistance from the National Bureau of Investigation over this.

Source: https://www.rappler.com/nation/elections/aika-robredo-seeks-nbi-assistance-fake-video-scandal-issue/",,Resilient-Badger,"Incorrect Format, Mislabeled"
14-12,31/03/23 00:30:59,https://twitter.com/rsurtida/status/1513775674460303361,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,"aika robredo, sex video, stunt, victim",@rsurtida,"Roman Surtida
","http://rbsurtida.wordpress.com",Identified,01/11,649,4542,Metro Manila,"Aika Robredo ""sex video"": The latest Yellowtard stunt to make them look like victims all for political gain
https://www.getrealphilippines.com/2022/04/aika-robredo-sex-video-the-latest-yellowtard-stunt-to-make-them-look-like-victims-all-for-political-gain/",,"Text, URL",12/04/22 15:07,,Emotional,45,2,12,,,,"The video scandal going around the internet claimed to be of Aika Robredo is fake. Aika Robredo has asked for assistance from the National Bureau of Investigation over this.

Source: https://www.rappler.com/nation/elections/aika-robredo-seeks-nbi-assistance-fake-video-scandal-issue/",,Resilient-Badger,Mislabeled
